Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
45,118,45,43,45,1.000,0.000,1,1,1,196.133,1.156,1.978,2.122,0.839,1.914,196.133,1.156,1.978,193,0,1,7,5,4
1715,1314,1715,748,406455,237.000,0.000,237,237,237,223.494,2.557,12.029,7.940,2.494,7.653,223.493,2.557,12.029,216,0,1,17,9,27
835,834,835,430,74315,89.000,0.000,89,89,89,240.268,2.891,6.257,5.956,1.692,5.955,240.268,2.891,6.257,233,0,1,18,9,13
746,698,746,370,97726,131.000,0.000,131,131,131,283.236,3.208,7.819,5.673,1.659,5.273,283.237,3.208,7.819,279,0,1,9,10,19
468,540,468,336,71136,152.000,0.000,152,152,152,301.034,1.190,7.959,5.181,1.823,5.283,301.034,1.190,7.959,293,0,1,16,4,14
241,318,241,167,36873,153.000,0.000,153,153,153,317.361,1.224,7.668,3.892,1.357,3.759,317.361,1.224,7.668,314,0,1,8,5,14
2435,1542,2435,928,511350,210.000,0.000,210,210,210,501.552,3.559,9.759,8.714,2.393,8.727,501.549,3.559,9.759,489,0,1,22,11,22
2298,1570,2298,781,303336,132.000,0.000,132,132,132,298.772,11.008,7.258,8.008,1.356,7.929,298.769,11.008,7.258,288,4,1,22,17,14
155,210,155,98,12710,82.000,0.000,82,82,82,81.877,7.761,3.974,2.986,0.529,2.995,81.877,7.761,3.974,79,5,1,6,6,8
12,40,12,12,24,2.000,0.000,2,2,2,193.000,6.500,1.500,1.112,0.326,1.225,193.000,6.500,1.500,192,6,1,3,3,3
1107,1042,1107,527,4428,4.000,0.000,4,4,4,385.037,17.233,4.603,7.301,2.679,7.020,385.037,17.233,4.603,378,7,1,15,20,16
3213,1992,3213,980,677943,211.000,0.000,211,211,211,187.448,23.308,8.638,9.358,2.256,9.110,187.450,23.308,8.638,180,11,1,17,25,20
2008,1380,2008,708,6024,3.000,0.000,3,3,3,458.673,18.125,7.333,7.839,1.664,7.933,458.673,18.125,7.333,447,11,1,21,15,18
1789,1528,1789,715,8945,5.000,0.000,5,5,5,310.964,23.885,5.050,7.424,1.593,7.467,310.964,23.885,5.050,299,14,1,23,19,14
5391,2764,5391,1519,32346,6.000,0.000,6,6,6,433.007,25.428,7.903,10.947,2.380,11.150,433.007,25.428,7.903,418,15,1,29,21,21
3901,2102,3901,1118,1057171,271.000,0.000,271,271,271,269.677,23.075,11.334,9.580,1.377,9.527,269.678,23.075,11.334,257,14,1,25,21,19
1127,1060,1127,542,9016,8.000,0.000,8,8,8,496.249,31.799,4.021,7.117,2.444,6.982,496.249,31.799,4.021,490,20,1,15,23,10
103,162,103,79,721,7.000,0.000,7,7,7,373.311,26.087,2.437,2.514,0.519,2.522,373.311,26.087,2.437,371,23,1,6,7,4
122,206,122,81,10126,83.000,0.000,83,83,83,322.795,32.762,3.098,2.782,0.625,2.718,322.795,32.762,3.098,320,29,1,7,8,6
182,276,182,122,1638,9.000,0.000,9,9,9,382.681,36.154,2.665,3.440,1.107,3.283,382.681,36.154,2.665,380,31,1,7,12,6
3126,1738,3126,902,665838,213.000,0.000,213,213,213,161.316,39.069,10.134,8.861,1.442,8.939,161.315,39.069,10.134,152,33,1,21,14,24
1101,964,1101,441,202584,184.000,0.000,184,184,184,505.977,38.171,7.982,6.162,1.223,6.135,505.977,38.171,7.982,501,31,1,13,16,14
644,654,644,331,7728,12.000,0.000,12,12,12,391.975,40.902,4.180,5.269,1.259,5.187,391.975,40.902,4.180,386,34,1,11,14,12
850,746,850,393,8500,10.000,0.000,10,10,10,420.644,38.662,7.035,5.733,1.326,5.664,420.644,38.662,7.035,417,33,1,10,12,17
241,394,241,172,2651,11.000,0.000,11,11,11,373.071,40.992,3.079,4.316,1.510,4.463,373.071,40.992,3.079,369,36,1,9,12,8
2810,1876,2810,1014,39340,14.000,0.000,14,14,14,334.435,50.236,4.988,9.098,2.444,8.877,334.435,50.236,4.988,321,39,1,27,22,13
1683,1142,1683,632,21879,13.000,0.000,13,13,13,354.376,44.521,7.759,7.481,1.787,7.287,354.376,44.521,7.759,347,38,1,14,17,20
2870,1956,2870,1060,43050,15.000,0.000,15,15,15,411.761,59.415,5.217,9.233,2.569,9.326,411.762,59.415,5.217,400,50,1,27,24,13
171,260,171,104,18981,111.000,0.000,111,111,111,368.947,52.053,4.719,3.201,0.699,3.277,368.947,52.053,4.719,366,49,1,7,7,9
4593,2646,4593,1347,707322,154.000,0.000,154,154,154,210.169,60.946,10.479,10.750,2.655,10.689,210.165,60.946,10.479,200,50,1,27,21,28
2240,1388,2240,754,219520,98.000,0.000,98,98,98,456.891,61.876,9.408,8.013,1.739,7.915,456.886,61.876,9.408,451,54,1,13,15,22
1580,1266,1580,579,339700,215.000,0.000,215,215,215,132.867,62.405,10.364,7.172,1.646,6.914,132.868,62.405,10.364,127,56,1,13,14,20
3376,2068,3376,1133,54016,16.000,0.000,16,16,16,362.276,70.063,8.879,9.541,2.343,9.366,362.276,70.063,8.879,356,57,1,19,26,25
2539,2230,2539,1120,1198408,472.000,0.000,472,472,472,325.548,71.477,17.590,9.743,3.439,9.599,325.551,71.477,17.590,321,61,1,13,25,33
977,858,977,384,151435,155.000,0.000,155,155,155,261.709,65.624,7.200,5.986,1.236,5.858,261.711,65.624,7.200,254,61,1,18,11,13
7613,4364,7613,2196,3189847,419.000,0.000,419,419,419,152.538,75.309,18.051,13.210,3.848,13.046,152.539,75.309,18.051,140,55,1,24,37,35
756,642,756,315,74844,99.000,0.000,99,99,99,183.594,71.626,5.101,5.306,0.760,5.191,183.594,71.626,5.101,177,66,1,14,11,10
