@relation TWS-3D-v3.3.1-grayscale

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute class {Cell,Background,Garbage}

@data
44,67.558105,1.950458,5.245928,8.572842,-173.381729,-191.664612,71.087189,0.621365,0.033542,-0.007762,-0.006715,-0.011314,61.338665,0.032257,-0.000517,-0.000047,0.000003,0.000001,48.706734,-0.000642,-0,-0,-0,-0,Cell
56,64.729141,0.271556,2.739673,-5.65775,-182.28566,300.312286,72.319252,0.297597,0.032999,0.014551,-0.017727,-0.019896,64.124382,0.026365,-0.00072,-0.000018,0.000003,0,49.821995,0.000401,-0.000001,-0,-0,-0,Cell
59,65.655579,-0.715685,-0.781325,-8.618666,185.548523,5.159517,73.048882,-0.110141,-0.007898,0.022948,-0.000587,-0.006853,66.774445,0.019874,-0.000853,0.000016,0.000004,-0,50.785069,0.001326,-0.000002,-0,-0,-0,Cell
87,82.073517,-0.221251,-2.339098,-6.208735,7.721332,19.936003,75.7323,-0.40602,-0.066358,0.012219,0.022859,0.010322,69.383705,0.014781,-0.00092,0.000044,0.000005,-0.000001,51.567524,0.002092,-0.000004,-0,-0,-0,Cell
193,104.511902,-0.044418,-4.259501,3.256286,32.378937,-60.100861,81.49826,-0.495881,-0.093346,-0.005464,0.01793,0.013544,71.960777,0.012551,-0.000906,0.000059,0.000005,-0.000001,52.144192,0.002664,-0.000007,-0,-0,0,Cell
119,114.835724,-1.690989,5.610878,10.241548,-178.086578,-109.129387,89.504448,-0.406251,-0.067445,-0.011311,-0.013662,-0.000269,74.397346,0.013365,-0.000782,0.000057,0.000005,-0.000001,52.493935,0.003017,-0.00001,-0,-0,0,Cell
143,120.686462,-1.949696,2.250301,6.959423,145.920898,80.028648,97.362587,-0.219375,-0.017543,0.000889,-0.032492,-0.017509,76.475067,0.01584,-0.000531,0.000042,0.000003,-0,52.601063,0.003141,-0.000013,-0,-0,0,Cell
150,124.688721,-1.411438,-1.331058,-0.354509,-64.526039,-108.485855,102.087929,-0.025898,0.017549,0.015184,-0.015793,-0.017218,77.910278,0.017421,-0.000175,0.000022,0.000001,-0,52.456192,0.003037,-0.000016,-0,-0,0,Cell
59,64.207748,0.799657,-1.680024,11.815021,62.47776,-78.838837,69.240265,0.399523,0.039575,-0.008102,-0.007732,0.014142,57.751049,0.02859,-0.000055,-0.000043,-0,0.000001,47.159084,-0.004858,-0.000001,-0,-0,-0,Cell
97,86.000099,3.744466,-1.248835,-7.959961,235.746384,-154.903381,80.657753,0.595442,-0.021457,-0.019005,0.002636,0.025218,61.838413,0.03055,-0.00043,-0.000049,0.000003,0.000001,48.637024,-0.00368,-0.000001,-0,-0,-0,Cell
108,107.551636,4.830531,2.948651,-15.961488,-341.773071,168.659927,89.243149,0.714909,-0.054836,-0.022764,0.003784,0.005423,65.524513,0.030478,-0.000696,-0.000043,0.000006,0.000001,50.051182,-0.002447,-0.000002,-0,-0,-0,Cell
127,115.474907,2.969751,1.836696,2.784651,-70.075409,196.546539,92.873672,0.608282,-0.040536,-0.016642,-0.005235,-0.014409,68.808426,0.028253,-0.000809,-0.000024,0.000006,0.000001,51.36816,-0.001219,-0.000003,-0,-0,-0,Cell
102,102.920601,0.883014,-3.731956,12.82951,378.798553,-260.630707,91.662331,0.239131,-0.000126,-0.001046,-0.013402,-0.005655,71.797623,0.024586,-0.000783,0.000005,0.000004,0,52.553749,-0.000053,-0.000004,-0,-0,-0,Cell
54,84.849678,-2.029134,0.729738,-2.297649,-207.963806,43.85062,88.567352,-0.247721,0.019817,0.022816,-0.006499,0.00173,74.658508,0.020961,-0.000678,0.000037,0.000003,-0,53.574657,0.000995,-0.000006,-0,-0,-0,Cell
69,86.161064,-6.071512,-0.615147,4.315691,36.15345,-108.47316,87.838654,-0.619916,-0.005875,0.040037,0.015573,-0.01273,77.533493,0.019136,-0.000562,0.00006,0.000002,-0.000001,54.400345,0.001877,-0.000009,-0,-0,-0,Cell
144,105.19944,-6.095072,-4.613234,6.256662,85.233002,130.567978,92.417282,-0.714952,-0.051567,0.027237,0.028384,-0.015944,80.456078,0.020351,-0.000475,0.000068,0.000002,-0.000001,55.003811,0.002553,-0.000012,-0,-0,0,Cell
116,124.705276,-0.253007,6.328551,-9.215979,-160.898148,94.676247,102.36496,-0.531458,-0.072378,-0.010835,0.012161,0.009283,83.30542,0.024566,-0.000409,0.000056,0.000002,-0.000001,55.362488,0.002994,-0.000015,-0,-0,0,Cell
158,148.275558,4.772856,6.096098,-10.139594,-14.053646,-142.434998,114.825058,-0.199848,-0.054279,-0.032361,-0.017472,0.02441,85.81192,0.030126,-0.000324,0.00003,0.000002,-0,55.459526,0.003187,-0.000019,-0,-0,0,Cell
234,171.596191,1.861072,-3.631186,1.155611,2.532154,85.761536,125.074181,0.122554,-0.017148,-0.01284,-0.029443,0.003272,87.611954,0.034109,-0.000185,-0.000002,0.000001,-0,55.284794,0.00313,-0.000022,-0,0,0,Cell
